 8 A
 9 A
10 A
10 A
10 A
10 A
10 A
10 A
11 A
11 A
11 A
11 A
12 A
12 A
13 A
13 A
13 A
14 A
14 A
14 A
15 A
15 A
15 A
15 A
15 A
15 A
15 A
15 A
16 A
16 A
16 A
17 A
17 A
17 A
17 A
18 A
18 A
20 A
22 A
25 A
27 A
35 A
38 A
40 A
24 B
25 B
27 B
30 B
30 B
30 B
30 B
30 B
30 B
32 B
32 B
33 B
34 B
34 B
34 B
35 B
35 B
36 B
36 B
36 B
37 B
37 B
40 B
40 B
40 B
40 B
40 B
40 B
40 B
40 B
40 B
41 B
41 B
42 B
42 B
42 B
42 B
43 B
43 B
44 B
44 B
44 B
45 B
45 B
45 B
45 B
45 B
45 B
46 B
46 B
47 B
48 B
48 B
50 B
50 B
50 B
51 B
54 B
54 B
54 B
55 B
55 B
60 B
60 B
63 B
70 B
75 B
80 B
94 B
